pair;timeframe;strategy;thresholdOpen;thresholdClose;followTrend;name;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;stringCodedParams;stringCodedPositions;stringCodedResult;
GBPUSD;1200;SSIStrategy_V0;0,26;0,01;True;SSIStrategy_V0;20;0,0129000000000001;-0,00950000000000006;0,65;0,45;0,583333333333333;-0,00535454545454545;0,00797777777777779;0,000645000000000007;0,00596057002825468;0,00499114919111162;0,00858384966084565;2205;pair:GBPUSD|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,26|thresholdClose:0,01|followTrend:True|name:SSIStrategy_V0;S:1445460257750:1,5419:1445501027750:1,5452|L:1445564067750:1,5402:1445607507750:1,5351|S:1445623787750:1,5324:1445829567750:1,5335|S:1445890747750:1,5346:1445939097750:1,5328|S:1445976357750:1,5302:1445987007750:1,5311|S:1446048297750:1,5317:1446073287750:1,527|S:1446474887750:1,5453:1446566447750:1,5399|S:1446731577750:1,5236:1446841967750:1,5051|L:1447037157750:1,5072:1447217517750:1,5164|L:1447240607750:1,517:1447315127750:1,5207|L:1447359327750:1,5226:1447635357750:1,5207|L:1447657087750:1,5225:1447722707750:1,5187|L:1447755047750:1,5201:1447914867750:1,5275|L:1447935197750:1,5266:1447963307750:1,5294|L:1447987827750:1,5298:1448303007750:1,5121|L:1448318127750:1,5125:1448375537750:1,5077|L:1448389147750:1,508:1449063917750:1,5007|L:1449083917750:1,4947:1449085457750:1,4936|L:1449444767750:1,5113:1449571037750:1,4994|L:1449589647750:1,4996:1449701157750:1,5179|;positions:20|profit:0,0129000000000001|drawdown:-0,00950000000000006|long:0,65|winratio:0,45|positivedaysratio:0,583333333333333|meanloss:-0,00535454545454545|meanwin:0,00797777777777779|meantrade:0,000645000000000007|stddeviationwin:0,00596057002825468|stddeviationloss:0,00499114919111162|stddeviation:0,00858384966084565|meanholdtime:2205;
USDCHF;1200;SSIStrategy_V0;0,33;0,38;False;SSIStrategy_V0;1;0,0253;0;1;1;1;NaN;0,0253;0,0253;0;NaN;0;71354;pair:USDCHF|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,33|thresholdClose:0,38|followTrend:False|name:SSIStrategy_V0;L:1445419867750:0,958:1449701157750:0,9833|;positions:1|profit:0,0253|drawdown:0|long:1|winratio:1|positivedaysratio:1|meanloss:NaN|meanwin:0,0253|meantrade:0,0253|stddeviationwin:0|stddeviationloss:NaN|stddeviation:0|meanholdtime:71354;
EURJPY;1200;SSIStrategy_V0;0,39;0,36;False;SSIStrategy_V0;3;4,10999999999996;0;0,333333333333333;0,666666666666667;1;-0,0800000000000125;2,09499999999998;1,36999999999999;0,105000000000004;0;1,02888288935136;22693;pair:EURJPY|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,39|thresholdClose:0,36|followTrend:False|name:SSIStrategy_V0;S:1445605597750:133,64:1447702827750:131,65|L:1447713507750:131,65:1449695777750:133,85|S:1449695847750:133,88:1449701157750:133,96|;positions:3|profit:4,10999999999996|drawdown:0|long:0,333333333333333|winratio:0,666666666666667|positivedaysratio:1|meanloss:-0,0800000000000125|meanwin:2,09499999999998|meantrade:1,36999999999999|stddeviationwin:0,105000000000004|stddeviationloss:0|stddeviation:1,02888288935136|meanholdtime:22693;
EURUSD;1200;SSIStrategy_V0;0,35;0,41;True;SSIStrategy_V0;5805;-0,321399999999998;-0,321399999999998;1;0,00447889750215332;0,2;-0,000135089645078668;0,00183846153846154;-0,000116491482421167;0,00515401836681279;0,00117427370536138;0,00128554001661009;11;pair:EURUSD|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,35|thresholdClose:0,41|followTrend:True|name:SSIStrategy_V0;More than 1000;positions:5805|profit:-0,321399999999998|drawdown:-0,321399999999998|long:1|winratio:0,00447889750215332|positivedaysratio:0,2|meanloss:-0,000135089645078668|meanwin:0,00183846153846154|meantrade:-0,000116491482421167|stddeviationwin:0,00515401836681279|stddeviationloss:0,00117427370536138|stddeviation:0,00128554001661009|meanholdtime:11;
GBPCHF;1200;SSIStrategy_V0;0,03;0,23;False;SSIStrategy_V0;1791;-0,535600000000022;-0,535600000000022;0,999441652707984;0,0016750418760469;0;-0,000303153153153166;0,000933333333333379;-0,000301068015739192;0,000895668589502914;0,00140099352261816;0,00140121363335551;7;pair:GBPCHF|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,03|thresholdClose:0,23|followTrend:False|name:SSIStrategy_V0;More than 1000;positions:1791|profit:-0,535600000000022|drawdown:-0,535600000000022|long:0,999441652707984|winratio:0,0016750418760469|positivedaysratio:0|meanloss:-0,000303153153153166|meanwin:0,000933333333333379|meantrade:-0,000301068015739192|stddeviationwin:0,000895668589502914|stddeviationloss:0,00140099352261816|stddeviation:0,00140121363335551|meanholdtime:7;
EURUSD;1200;SSIStrategy_V0;0,24;0,05;False;SSIStrategy_V0;11;0,00690000000000035;0;0,0909090909090909;0,818181818181818;0,875;-0,0342;0,00456666666666671;0,000690000000000035;0,00569873280261109;0;0,0128251666655837;5237;pair:EURUSD|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,24|thresholdClose:0,05|followTrend:False|name:SSIStrategy_V0;S:1445381177750:1,1351:1445527407750:1,1157|L:1445548067750:1,1107:1445570697750:1,1116|S:1446087057750:1,0929:1446712277750:1,0867|S:1446817777750:1,0736:1447020347750:1,0735|S:1447048457750:1,0763:1447103197750:1,0753|S:1447160877750:1,0707:1447175637750:1,069|S:1447179697750:1,0709:1447317647750:1,0709|S:1447319067750:1,0713:1447630437750:1,0695|S:1447673487750:1,0736:1447722767750:1,0667|S:1447772117750:1,0673:1447803547750:1,0642|S:1447840727750:1,0679:1449701157750:1,1021|;positions:11|profit:0,00690000000000035|drawdown:0|long:0,0909090909090909|winratio:0,818181818181818|positivedaysratio:0,875|meanloss:-0,0342|meanwin:0,00456666666666671|meantrade:0,000690000000000035|stddeviationwin:0,00569873280261109|stddeviationloss:0|stddeviation:0,0128251666655837|meanholdtime:5237;
AUDJPY;1200;SSIStrategy_V0;0,06;0,39;False;SSIStrategy_V0;7133;-49,7800000000015;-49,7800000000015;0,999859806533016;0,00630870601429973;0,166666666666667;-0,0130618656355731;0,0948888888888891;-0,0119005498446095;0,222367285985469;0,0356032937989897;0,043702618559192;17;pair:AUDJPY|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,06|thresholdClose:0,39|followTrend:False|name:SSIStrategy_V0;More than 1000;positions:7133|profit:-49,7800000000015|drawdown:-49,7800000000015|long:0,999859806533016|winratio:0,00630870601429973|positivedaysratio:0,166666666666667|meanloss:-0,0130618656355731|meanwin:0,0948888888888891|meantrade:-0,0119005498446095|stddeviationwin:0,222367285985469|stddeviationloss:0,0356032937989897|stddeviation:0,043702618559192|meanholdtime:17;
EURJPY;1200;SSIStrategy_V0;0,06;0,48;True;SSIStrategy_V0;3208;-33,420000000003;-35,640000000003;0,999688279301746;0,00187032418952618;0,25;-0,0147915027537384;0,696666666666658;-0,0131161695447422;0,909425948362787;0,0639600567982967;0,0849583368523235;44;pair:EURJPY|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,06|thresholdClose:0,48|followTrend:True|name:SSIStrategy_V0;More than 1000;positions:3208|profit:-33,420000000003|drawdown:-35,640000000003|long:0,999688279301746|winratio:0,00187032418952618|positivedaysratio:0,25|meanloss:-0,0147915027537384|meanwin:0,696666666666658|meantrade:-0,0131161695447422|stddeviationwin:0,909425948362787|stddeviationloss:0,0639600567982967|stddeviation:0,0849583368523235|meanholdtime:44;
GBPJPY;1200;SSIStrategy_V0;0,49;0,05;True;SSIStrategy_V0;2;-1,22000000000003;-1,32000000000002;0;0,5;0,5;-1,32000000000002;0,0999999999999943;-0,610000000000014;0;0;0,710000000000008;2755;pair:GBPJPY|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,49|thresholdClose:0,05|followTrend:True|name:SSIStrategy_V0;S:1446452057750:185,92:1446713817750:187,24|S:1447324777750:186,71:1447393677750:186,61|;positions:2|profit:-1,22000000000003|drawdown:-1,32000000000002|long:0|winratio:0,5|positivedaysratio:0,5|meanloss:-1,32000000000002|meanwin:0,0999999999999943|meantrade:-0,610000000000014|stddeviationwin:0|stddeviationloss:0|stddeviation:0,710000000000008|meanholdtime:2755;
GBPCHF;1200;SSIStrategy_V0;0,38;0,06;False;SSIStrategy_V0;2;-0,0604;-0,0604;1;0;0;-0,0302;NaN;-0,0302;NaN;0,0293999999999999;0,0293999999999999;5093;pair:GBPCHF|timeframe:1200|strategy:SSIStrategy_V0|thresholdOpen:0,38|thresholdClose:0,06|followTrend:False|name:SSIStrategy_V0;L:1449001767750:1,5491:1449611367750:1,4895|L:1449699527750:1,4932:1449701157750:1,4924|;positions:2|profit:-0,0604|drawdown:-0,0604|long:1|winratio:0|positivedaysratio:0|meanloss:-0,0302|meanwin:NaN|meantrade:-0,0302|stddeviationwin:NaN|stddeviationloss:0,0293999999999999|stddeviation:0,0293999999999999|meanholdtime:5093;
